animal,latin_name,order,sex,LociVS,diff_LociVS,mod_diff_LociVS,midpoint_lat,mass,dichro,sexual_dichro,gen_time,survival,age_first_breed,max_lifespan,mating_system_og,mating_system_binary,paternal_care,migration
Abroscopus_albogularis,Abroscopus_albogularis,Passeriformes,F,105.303611,0.2088049,0.2088049,30.31611768,37.74980573,0,20.58556275,1.711266548,0.49676724,0.81566177,6.107698629,0,0,1,0
Abroscopus_albogularis,Abroscopus_albogularis,Passeriformes,M,105.5124159,0.2088049,0.2088049,30.31611768,37.74980573,0,20.58556275,1.711266548,0.49676724,0.81566177,6.107698629,0,0,1,0
Abroscopus_schisticeps,Abroscopus_schisticeps,Passeriformes,M,119.2728246,7.9887001,7.9887001,32.64256421,35.28275662,0,7.482288189,1.607010708,0.471999209,0.780159508,5.957459914,NA,NA,1,0
Abroscopus_schisticeps,Abroscopus_schisticeps,Passeriformes,F,111.2841245,7.9887001,7.9887001,32.64256421,35.28275662,0,7.482288189,1.607010708,0.471999209,0.780159508,5.957459914,NA,NA,1,0
Abroscopus_superciliaris,Abroscopus_superciliaris,Passeriformes,F,102.0659896,-1.4542725,1.4542725,12.84057999,73.91294556,0,11.13888914,1.827707546,0.508725302,0.898025387,6.286717288,0,0,1,0
Abroscopus_superciliaris,Abroscopus_superciliaris,Passeriformes,M,100.6117171,-1.4542725,1.4542725,12.84057999,73.91294556,0,11.13888914,1.827707546,0.508725302,0.898025387,6.286717288,0,0,1,0
Acanthagenys_rufogularis,Acanthagenys_rufogularis,Passeriformes,M,48.17413602,-8.15219,8.15219,-33.00662301,7362.505615,0,30.43852051,3.819754733,0.7179357,1.41109303,13.57064622,0,0,1,0
Acanthagenys_rufogularis,Acanthagenys_rufogularis,Passeriformes,F,56.32632602,-8.15219,8.15219,-33.00662301,7362.505615,0,30.43852051,3.819754733,0.7179357,1.41109303,13.57064622,0,0,1,0
Acanthisitta_chloris,Acanthisitta_chloris,Passeriformes,M,90.96734327,27.11743457,27.11743457,-48.85290483,85.69779309,1,26.22888985,1.890638142,0.521518354,0.874921555,6.563452551,0,0,1,0
Acanthisitta_chloris,Acanthisitta_chloris,Passeriformes,F,63.8499087,27.11743457,27.11743457,-48.85290483,85.69779309,1,26.22888985,1.890638142,0.521518354,0.874921555,6.563452551,0,0,1,0
Acanthiza_apicalis,Acanthiza_apicalis,Passeriformes,M,46.30173417,-3.49477209,3.49477209,-33.69648466,107.3436528,0,18.17796086,3.284418521,0.676743133,1.028145284,16.90136986,0,0,1,0
Acanthiza_apicalis,Acanthiza_apicalis,Passeriformes,F,49.79650626,-3.49477209,3.49477209,-33.69648466,107.3436528,0,18.17796086,3.284418521,0.676743133,1.028145284,16.90136986,0,0,1,0
Acanthiza_chrysorrhoa,Acanthiza_chrysorrhoa,Passeriformes,M,64.59855135,-0.42849854,0.42849854,-35.19802349,169.4098091,0,15.19159108,2.786694213,0.648380645,0.989406932,13.10410959,0,0,1,0
Acanthiza_chrysorrhoa,Acanthiza_chrysorrhoa,Passeriformes,F,65.02704989,-0.42849854,0.42849854,-35.19802349,169.4098091,0,15.19159108,2.786694213,0.648380645,0.989406932,13.10410959,0,0,1,0
Acanthiza_ewingii,Acanthiza_ewingii,Passeriformes,M,61,-2,2,-48.72304371,85.41249573,0,12.95209419,2.584194359,0.629292883,0.933108524,11.93437065,0,0,1,0
Acanthiza_ewingii,Acanthiza_ewingii,Passeriformes,F,63,-2,2,-48.72304371,85.41249573,0,12.95209419,2.584194359,0.629292883,0.933108524,11.93437065,0,0,1,0
